ticker,style,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,stop_loss,take_profit,entry_atr,n_adds,result_eur,result_pct
MDT,VALUE,2024-05-23,76.3142,3.276,2024-07-02,72.3995,stop_loss_atr,72.3995,80.2289,1.3049,0,-12.82,-5.13
CVI,VALUE,2024-05-31,26.7356,9.99999999997775e-05,2024-07-08,24.7147,stop_loss_atr,24.7147,29.271500000000003,0.8453,1,-0.0,-7.56
CMG,VALUE,2024-06-20,64.3045,1.4125,2024-07-08,59.3944,stop_loss_atr,59.3944,69.2146,1.6367,0,-6.94,-7.64
VLO,VALUE,2024-05-31,148.612,0.5007,2024-07-09,135.9529,stop_loss_atr,135.9529,161.2711,4.2197,0,-6.34,-8.52
BAC,VALUE,2024-06-21,37.9291,2.4018,2024-07-09,39.979,take_profit_atr,38.79994138743773,39.979,0.6833,0,4.92,5.4
MMM,MOMENTUM,2024-05-31,96.3319,0.7725,2024-07-10,95.312,trailing_stop,95.31204897496201,102.0277,1.8986,0,-0.79,-1.06
NFLX,MOMENTUM,2024-06-14,66.9547,1.3455,2024-07-11,66.0293,trailing_stop,66.0292505493164,71.4184,1.4879,0,-1.25,-1.38
CNX,VALUE,2024-06-21,24.166,3.7697,2024-07-11,25.8856,take_profit_atr,24.863600228881836,25.8856,0.5732,0,6.48,7.12
D,VALUE,2024-06-17,45.503,5.265,2024-07-12,48.0284,take_profit_atr,46.61275846219757,48.0284,0.8418,1,13.3,5.55
AMZN,MOMENTUM,2024-06-21,192.6579,2.5888,2024-07-15,192.4965,trailing_stop,192.4964969482422,203.1021,3.4814,2,-0.42,-0.08
AES,VALUE,2024-06-28,15.7486,20.413899999999998,2024-07-15,16.0019,value_trailing_stop,16.001925585027056,17.6077,0.6197,1,5.17,1.61
UNP,VALUE,2024-05-28,217.434,2.3038,2024-07-16,226.8667,value_trailing_stop,226.86672998324676,228.5748,3.7136,1,21.73,4.34
GWW,VALUE,2024-05-31,906.477,0.0821,2024-07-16,938.2096,value_trailing_stop,938.2096494662336,957.7923,17.1051,0,2.61,3.5
MS,MOMENTUM,2024-07-15,99.6217,1.1634,2024-07-16,99.0102,trailing_stop,99.01016924258059,104.6971,1.6918,0,-0.71,-0.61
TXN,MOMENTUM,2024-05-31,184.3294,0.4037,2024-07-17,196.1635,take_profit_atr,189.38085053773386,196.1635,3.9447,0,4.78,6.42
BSX,MOMENTUM,2024-05-31,77.2325,4.24,2024-07-18,76.1485,trailing_stop,76.14850335693359,80.6303,1.1326,1,-4.6,-1.4
ELV,VALUE,2024-05-31,507.8905,0.6413,2024-07-18,515.0737,value_trailing_stop,515.0737279277423,541.7647,11.2914,1,4.61,1.41
PEP,VALUE,2024-06-11,153.993,0.0021000000000002184,2024-07-18,161.4192,take_profit_atr,156.99141707836114,161.4192,2.4754,1,0.02,4.82
AR,VALUE,2024-06-21,30.4724,11.2366,2024-07-18,31.759,value_trailing_stop,31.75899969482422,33.563900000000004,1.0305,1,14.46,4.22
BKNG,MOMENTUM,2024-06-21,157.4395,0.5786,2024-07-18,156.7622,trailing_stop,156.76223575815368,165.5545,2.705,0,-0.39,-0.43
CVX,VALUE,2024-06-21,142.5987,0.6388,2024-07-18,150.2016,take_profit_atr,145.7573083500058,150.2016,2.5343,0,4.86,5.33
BX,MOMENTUM,2024-07-15,124.4267,0.9315,2024-07-18,125.2808,trailing_stop,125.28079228608776,132.4538,2.6757,0,0.8,0.69
GS,MOMENTUM,2024-07-15,481.8967,0.7661,2024-07-18,468.7632,trailing_stop,468.7632019617885,508.9666,9.0233,1,-10.06,-2.73
DHI,MOMENTUM,2024-07-17,154.1599,1.0479,2024-07-18,162.4934,trailing_stop,162.49342805783772,167.5501,4.4634,0,8.73,5.41
NFLX,VALUE,2024-07-18,64.3201,2.8094,2024-07-19,64.8422,value_trailing_stop,64.84220317382812,68.9023,1.5274,0,1.47,0.81
DIS,VALUE,2024-07-01,96.0813,1.6244999999999998,2024-07-23,90.9221,stop_loss_atr,90.9221,101.27969999999999,1.7328,1,-8.38,-5.37
HOOD,MOMENTUM,2024-07-15,23.946,4.8401,2024-07-24,22.2665,trailing_stop,22.2664991607666,27.0822,1.0454,0,-8.13,-7.01
EMR,MOMENTUM,2024-07-17,114.3363,1.4129,2024-07-24,110.3567,trailing_stop,110.3567,120.3057,1.9898,0,-5.62,-3.48
ABNB,VALUE,2024-06-21,149.6074,0.6089,2024-07-25,139.9645,stop_loss_atr,139.9645,159.2503,3.2143,0,-5.87,-6.45
BLK,MOMENTUM,2024-07-15,793.5166,0.1461,2024-07-25,792.866,trailing_stop,792.8660253643592,827.5132,11.3322,0,-0.1,-0.08
CDNS,VALUE,2024-07-17,281.8411,1.4636,2024-07-25,264.2379,stop_loss_atr,264.2379,305.79519999999997,7.9847,1,-25.76,-6.25
COIN,MOMENTUM,2024-07-19,257.8545,0.5985,2024-07-25,234.7837,trailing_stop,234.78373779296874,303.174,15.1065,0,-13.81,-8.95
UNP,MOMENTUM,2024-07-19,232.9108,0.7202,2024-07-25,225.3674,trailing_stop,225.3674,244.2259,3.7717,0,-5.43,-3.24
DXCM,VALUE,2024-05-31,116.1091,0.00010000000000002447,2024-07-25,107.823,EMA-50 abaixo de EMA-200 — tendência inv,106.9173,127.9915,3.9608,1,-0.0,-7.14
HOLX,MOMENTUM,2024-07-18,77.6794,2.3263,2024-07-30,79.3805,trailing_stop,79.38050152587891,81.6028,1.3078,0,3.96,2.19
A,VALUE,2024-05-31,129.1723,2.4817,2024-07-31,141.8269,take_profit_atr,133.59939362432948,141.82690000000002,4.2182,1,31.4,9.8
NEE,VALUE,2024-06-11,69.1649,1.2904,2024-08-01,74.381,take_profit_atr,71.06971007949575,74.381,1.7387,0,6.73,7.54
META,VALUE,2024-07-17,459.4495,0.3516,2024-08-01,493.6787,value_trailing_stop,493.6787187856688,505.1416,15.2307,0,12.03,7.45
CRM,VALUE,2024-05-31,233.1587,1.2951000000000001,2024-08-02,242.4143,value_trailing_stop,242.4143011052539,264.0092,10.2835,1,11.99,3.97
EQT,VALUE,2024-07-16,34.7681,0.01159999999999977,2024-08-02,32.164,stop_loss_atr,32.164,37.5395,0.9238,1,-0.03,-7.49
DDOG,VALUE,2024-07-17,121.1903,1.24,2024-08-02,108.1661,stop_loss_atr,108.1661,134.2145,4.3414,0,-16.15,-10.75
TSM,VALUE,2024-07-17,167.7618,2.3216,2024-08-02,148.2486,stop_loss_atr,148.24859999999998,187.275,6.5044,1,-45.3,-11.63
AR,VALUE,2024-07-18,29.0656,14.8856,2024-08-02,26.538,stop_loss_atr,26.538,32.005,0.9798,1,-37.62,-8.7
PHM,MOMENTUM,2024-07-18,123.6688,3.5059000000000005,2024-08-02,124.4049,trailing_stop,124.40490012779122,134.9605,3.7639,1,2.58,0.6
KMI,MOMENTUM,2024-07-19,19.7044,9.1786,2024-08-02,19.253,trailing_stop,19.252961729510897,20.7139,0.3365,0,-4.14,-2.29
SPOT,MOMENTUM,2024-07-23,330.8727,0.546,2024-08-02,329.4873,trailing_stop,329.48725,366.738,11.9551,0,-0.76,-0.42
GS,MOMENTUM,2024-08-01,482.4156,0.1444,2024-08-02,459.9956,trailing_stop,459.9956,516.0456,11.21,0,-3.24,-4.65
CEG,VALUE,2024-07-17,184.9284,1.9383,2024-08-05,157.2051,stop_loss_atr,157.20510000000002,212.6517,9.2411,1,-53.74,-14.99
CTAS,MOMENTUM,2024-07-18,186.5894,0.9685,2024-08-05,182.1474,trailing_stop,182.14736407434734,196.2821,3.2309,0,-4.3,-2.38
DHI,MOMENTUM,2024-07-18,169.7315,1.0646,2024-08-05,167.5914,trailing_stop,167.59139810987853,186.3506,5.5397,0,-2.28,-1.26
